    99,118,140,153,320,429,442,598,685,696,864,885,910,1065,1086,1290,1311,1509,1520,1546,1767,1776,1834,1988,2001,2114,2135,2220,2401,2422,2444,2659
119,141,343,428,441,578,599,697,867,884,921,1064,1085,1223,1234,1291,1510,1521,1565,1766,1779,1835,1854,1989,2134,2402,2423,2456,2658,2703,2712,2882
97,116,143,322,341,431,576,597,687,698,886,908,923,1067,1221,1288,1309,1523,1544,1567,1765,1833,1852,1990,2003,2132,2222,2233,2420,2447,2458,2657
98,117,152,321,340,443,577,684,699,865,911,922,1066,1087,1220,1289,1310,1508,1547,1566,1764,1777,1853,1991,2000,2115,2221,2232,2400,2421,2459,2656
101,136,324,337,427,446,683,700,881,906,927,1071,1082,1236,1294,1305,1524,1550,1563,1761,1780,1837,1984,2007,2131,2216,2405,2416,2443,2663,2672,2717
102,115,137,156,336,426,445,582,680,701,869,880,926,1070,1081,1219,1295,1306,1504,1525,1562,1760,1783,1850,1985,2004,2119,2130,2236,2406,2417,2460
112,139,158,326,339,424,595,702,871,882,904,925,1068,1217,1238,1506,1527,1548,1561,1762,1839,1848,1986,2117,2128,2218,2239,2419,2441,2462,2661,2699
100,113,159,325,338,447,581,592,682,703,870,907,924,1083,1216,1237,1293,1304,1507,1551,1560,1781,1836,1849,1987,2006,2116,2217,2238,2442,2463,2660
103,138,157,327,425,444,594,681,868,883,905,1069,1080,1218,1239,1307,1505,1526,1549,1763,1782,1838,2005,2118,2129,2219,2407,2418,2440,2461,2674,2696
86,172,187,374,397,408,611,630,664,834,853,952,1033,1052,1254,1267,1322,1479,1488,1596,1735,1746,1802,1823,2020,2144,2167,2202,2371,2390,2476,2489
66,87,173,184,353,396,411,631,652,665,833,852,943,1032,1055,1266,1323,1342,1476,1489,1579,1734,1745,1803,2021,2032,2147,2166,2189,2368,2391,2477
67,84,185,352,373,399,410,608,653,666,832,942,955,1035,1054,1253,1320,1343,1477,1578,1599,1733,1744,1820,2022,2033,2146,2188,2201,2369,2388,2490
64,85,174,355,372,398,609,628,654,667,855,941,954,1034,1252,1265,1321,1340,1490,1577,1598,1732,1800,1821,2023,2034,2165,2191,2200,2389,2478,2491
71,82,168,189,369,395,412,615,649,668,836,849,959,1039,1048,1250,1326,1339,1473,1492,1595,1729,1750,1819,2016,2037,2150,2163,2205,2375,2384,2493
68,83,169,357,368,394,415,624,650,669,848,939,958,1038,1051,1269,1327,1336,1493,1583,1594,1728,1749,1804,2017,2038,2162,2185,2204,2372,2385,2474
69,80,190,356,371,414,612,625,651,670,839,938,957,1050,1249,1268,1324,1337,1474,1582,1593,1748,1805,1816,2018,2039,2149,2184,2207,2373,2475,2494
81,170,191,359,370,393,613,626,671,838,851,937,956,1037,1248,1271,1325,1475,1494,1581,1592,1731,1806,1817,2019,2148,2161,2187,2206,2386,2472,2495
70,171,188,358,392,413,614,627,648,837,850,936,1036,1049,1251,1270,1338,1472,1495,1580,1730,1751,1807,1818,2036,2151,2160,2186,2374,2387,2473,2492
65,175,186,354,375,409,610,629,655,835,854,940,953,1053,1255,1264,1341,1478,1491,1576,1597,1747,1801,1822,2035,2145,2164,2190,2203,2370,2479,2488
35,54,204,217,256,493,506,534,749,760,800,821,974,1129,1150,1171,1354,1375,1445,1456,1610,1703,1712,1898,1924,1937,2050,2071,2284,2337,2358
55,205,218,279,492,505,514,535,761,803,820,985,1128,1149,1159,1170,1355,1446,1457,1629,1702,1715,1899,1918,1925,2049,2070,2299,2338,2359
33,52,207,258,277,495,512,533,751,762,822,972,987,1131,1157,1168,1352,1373,1459,1608,1631,1701,1897,1916,1926,1939,2068,2286,2297,2356
34,53,216,257,276,494,507,513,748,763,801,975,986,1130,1151,1156,1353,1374,1444,1611,1630,1700,1713,1917,1927,1936,2051,2285,2296,2336,2357
37,50,200,260,273,491,510,529,747,764,817,970,991,1135,1146,1172,1358,1369,1460,1614,1627,1697,1716,1901,1920,1943,2067,2280,2301,2341,2352
38,51,201,220,272,490,509,518,744,765,805,816,990,1134,1145,1155,1359,1370,1440,1461,1626,1696,1719,1914,1921,1940,2055,2066,2300,2342,2353
48,203,222,262,275,488,516,531,766,807,818,968,989,1132,1153,1174,1356,1442,1463,1612,1625,1698,1903,1912,1922,2053,2064,2282,2303,2355
36,49,223,261,274,511,517,528,746,767,806,971,988,1147,1152,1173,1357,1368,1443,1615,1624,1717,1900,1913,1923,1942,2052,2281,2302,2340
39,202,221,263,489,508,519,530,745,804,819,969,1133,1144,1154,1175,1371,1441,1462,1613,1699,1718,1902,1915,1941,2054,2065,2283,2343,2354
