13,29,73,89,140,156,200,216,303,319,363,379,430,446,490,506,519,535,579,595,646,662,706,722,805,821,865,881,932,948,992,1008,1026,1042,1094,1110,1155,1171,1223,1239,1312,1328,1380,1396,1441,1457,1509,1525,1544,1560,1612,1628,1673,1689,1741,1757,1834,1850,1902,1918,1963,1979,2031,2047,2084,2100,2144,2160,2213,2229,2273,2289,2310,2326,2370,2386,2439,2455,2499,2515,2606,2622,2666,2682,2735,2751,2795,2811,2828,2844,2888,2904,2957,2973,3017,3033,3115,3131,3183,3199,3242,3258,3310,3326,3337,3353,3405,3421,3464,3480,3532,3548,3633,3685,3701,3744,3760,3812,3828,3843,3859,3911,3927,3970,3986,4038,4054,4128
47,63,107,123,174,190,234,250,269,285,329,345,396,412,456,472,549,565,609,625,676,692,736,752,775,791,835,851,902,918,962,978,1056,1072,1124,1140,1185,1201,1253,1269,1282,1298,1350,1366,1411,1427,1479,1495,1578,1594,1646,1662,1707,1723,1775,1791,1800,1816,1868,1884,1929,1945,1997,2013,2054,2070,2114,2130,2183,2199,2243,2259,2340,2356,2400,2416,2469,2485,2529,2545,2572,2588,2632,2648,2701,2717,2761,2777,2862,2878,2922,2938,2991,3007,3051,3067,3081,3097,3149,3165,3208,3224,3276,3292,3371,3387,3439,3455,3498,3514,3566,3582,3587,3603,3655,3671,3714,3730,3782,3798,3873,3889,3941,3957,4000,4016,4068,4084
39,55,99,115,166,182,226,242,261,277,321,337,388,404,448,464,557,573,617,633,684,700,744,760,783,799,843,859,910,926,970,986,1064,1080,1132,1148,1193,1209,1261,1277,1290,1306,1358,1374,1419,1435,1487,1503,1570,1586,1638,1654,1699,1715,1767,1783,1792,1808,1860,1876,1921,1937,1989,2005,2062,2078,2122,2138,2191,2207,2251,2267,2348,2364,2408,2424,2477,2493,2537,2553,2564,2580,2624,2640,2693,2709,2753,2769,2854,2870,2914,2930,2983,2999,3043,3059,3073,3089,3141,3157,3200,3216,3268,3284,3363,3379,3431,3447,3490,3506,3558,3574,3595,3611,3663,3679,3722,3738,3790,3806,3881,3897,3949,3965,4008,4024,4076,4092
5,21,65,81,132,148,192,208,295,311,355,371,422,438,482,498,527,543,587,603,654,670,714,730,813,829,873,889,940,956,1000,1016,1034,1050,1102,1118,1163,1179,1231,1247,1320,1336,1388,1404,1449,1465,1517,1533,1536,1552,1604,1620,1665,1681,1733,1749,1826,1842,1894,1910,1955,1971,2023,2039,2092,2108,2152,2168,2221,2237,2281,2297,2318,2334,2378,2394,2447,2463,2507,2523,2598,2614,2658,2674,2727,2743,2787,2803,2820,2836,2880,2896,2949,2965,3009,3025,3107,3123,3175,3191,3234,3250,3302,3318,3329,3345,3397,3413,3456,3472,3524,3540,3617,3625,3641,3693,3709,3752,3768,3820,3836,3851,3867,3919,3935,3978,3994,4046
9,25,77,93,136,152,204,220,299,315,367,383,426,442,494,510,515,531,583,599,642,658,710,726,801,817,869,885,928,944,996,1012,1030,1046,1090,1106,1159,1175,1219,1235,1316,1332,1376,1392,1445,1461,1505,1521,1548,1564,1608,1624,1677,1693,1737,1753,1838,1854,1898,1914,1967,1983,2027,2043,2080,2096,2148,2164,2209,2225,2277,2293,2306,2322,2374,2390,2435,2451,2503,2519,2602,2618,2670,2686,2731,2747,2799,2815,2824,2840,2892,2908,2953,2969,3021,3037,3119,3135,3179,3195,3246,3262,3306,3322,3341,3357,3401,3417,3468,3484,3528,3544,3621,3637,3681,3697,3748,3764,3808,3824,3847,3863,3907,3923,3974,3990,4034,4050
43,59,111,127,170,186,238,254,265,281,333,349,392,408,460,476,545,561,613,629,672,688,740,756,771,787,839,855,898,914,966,982,1060,1076,1120,1136,1189,1205,1249,1265,1286,1302,1346,1362,1415,1431,1475,1491,1582,1598,1642,1658,1711,1727,1771,1787,1804,1820,1864,1880,1933,1949,1993,2009,2050,2066,2118,2134,2179,2195,2247,2263,2336,2352,2404,2420,2465,2481,2533,2549,2568,2584,2636,2652,2697,2713,2765,2781,2858,2874,2926,2942,2987,3003,3055,3071,3085,3101,3145,3161,3212,3228,3272,3288,3375,3391,3435,3451,3502,3518,3562,3578,3591,3607,3651,3667,3718,3734,3778,3794,3877,3893,3937,3953,4004,4020,4064,4080
35,51,103,119,162,178,230,246,257,273,325,341,384,400,452,468,553,569,621,637,680,696,748,764,779,795,847,863,906,922,974,990,1068,1084,1128,1144,1197,1213,1257,1273,1294,1310,1354,1370,1423,1439,1483,1499,1574,1590,1634,1650,1703,1719,1763,1779,1796,1812,1856,1872,1925,1941,1985,2001,2058,2074,2126,2142,2187,2203,2255,2271,2344,2360,2412,2428,2473,2489,2541,2557,2560,2576,2628,2644,2689,2705,2757,2773,2850,2866,2918,2934,2979,2995,3047,3063,3077,3093,3137,3153,3204,3220,3264,3280,3367,3383,3427,3443,3494,3510,3554,3570,3599,3615,3659,3675,3726,3742,3786,3802,3885,3901,3945,3961,4012,4028,4072,4088
1,17,69,85,128,144,196,212,291,307,359,375,418,434,486,502,523,539,591,607,650,666,718,734,809,825,877,893,936,952,1004,1020,1038,1054,1098,1114,1167,1183,1227,1243,1324,1340,1384,1400,1453,1469,1513,1529,1540,1556,1600,1616,1669,1685,1729,1745,1830,1846,1890,1906,1959,1975,2019,2035,2088,2104,2156,2172,2217,2233,2285,2301,2314,2330,2382,2398,2443,2459,2511,2527,2594,2610,2662,2678,2723,2739,2791,2807,2816,2832,2884,2900,2945,2961,3013,3029,3111,3127,3171,3187,3238,3254,3298,3314,3333,3349,3393,3409,3460,3476,3520,3536,3629,3645,3689,3705,3756,3772,3816,3832,3855,3871,3915,3931,3982,3998,4042,4058
12,28,72,88,141,157,201,217,302,318,362,378,431,447,491,507,518,534,578,594,647,663,707,723,804,820,864,880,933,949,993,1009,1027,1043,1095,1111,1154,1170,1222,1238,1313,1329,1381,1397,1440,1456,1508,1524,1545,1561,1613,1629,1672,1688,1740,1756,1835,1851,1903,1919,1962,1978,2030,2046,2085,2101,2145,2161,2212,2228,2272,2288,2311,2327,2371,2387,2438,2454,2498,2514,2607,2623,2667,2683,2734,2750,2794,2810,2829,2845,2889,2905,2956,2972,3016,3032,3114,3130,3182,3198,3243,3259,3311,3327,3336,3352,3404,3420,3465,3481,3533,3549,3616,3632,3684,3700,3745,3761,3813,3829,3842,3858,3910,3926,3971,3987,4039,4055
46,62,106,122,175,191,235,251,268,284,328,344,397,413,457,473,548,564,608,624,677,693,737,753,774,790,834,850,903,919,963,979,1057,1073,1125,1141,1184,1200,1252,1268,1283,1299,1351,1367,1410,1426,1478,1494,1579,1595,1647,1663,1706,1722,1774,1790,1801,1817,1869,1885,1928,1944,1996,2012,2055,2071,2115,2131,2182,2198,2242,2258,2341,2357,2401,2417,2468,2484,2528,2544,2573,2589,2633,2649,2700,2716,2760,2776,2863,2879,2923,2939,2990,3006,3050,3066,3080,3096,3148,3164,3209,3225,3277,3293,3370,3386,3438,3454,3499,3515,3567,3583,3586,3602,3654,3670,3715,3731,3783,3799,3872,3888,3940,3956,4001,4017,4069,4085
